strain,date,region_original,country_original,division,Ns
hCoV-19/France/CVL-IPP21826/2021,2021-08-10,Europe,France,Centre-Val de Loire,0
hCoV-19/Belgium/ZNA_21625829/2021,2021-08-10,Europe,Belgium,Antwerpen,33
hCoV-19/Switzerland/BL-ETHZ-33708276/2021,2021-08-10,Europe,Switzerland,Basel-Land,54
hCoV-19/USA/NC-CDC-ASC210187002/2021,2021-08-10,North America,USA,North Carolina,5
hCoV-19/Belgium/UGent-9000/2021,2021-08-10,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-9004/2021,2021-08-10,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-9002/2021,2021-08-10,Europe,Belgium,Gent,1964
hCoV-19/Belgium/UGent-9112/2021,2021-08-10,Europe,Belgium,Gent,1949
hCoV-19/Belgium/UGent-9118/2021,2021-08-10,Europe,Belgium,Gent,326
hCoV-19/Belgium/UGent-9020/2021,2021-08-10,Europe,Belgium,Gent,584
hCoV-19/Belgium/UGent-8976/2021,2021-08-10,Europe,Belgium,Gent,592
hCoV-19/Germany/NI-RKI-I-214583/2021,2021-08-10,Europe,Germany,Niedersachsen,360
hCoV-19/USA/MA-CDCBI-MGB_00549/2021,2021-08-10,North America,USA,Massachusetts,374
hCoV-19/Belgium/UZA-UA-13202102/2021,2021-08-10,Europe,Belgium,Hasselt,0
hCoV-19/France/PDL-IPP21878/2021,2021-08-10,Europe,France,Pays de La Loire,0
hCoV-19/France/BRE-IPP22099/2021,2021-08-10,Europe,France,Bretagne,42
hCoV-19/France/HDF-IPP21959/2021,2021-08-10,Europe,France,Hauts de France,0
hCoV-19/France/HDF-IPP21957/2021,2021-08-10,Europe,France,Hauts de France,28
hCoV-19/France/IDF-IPP22043/2021,2021-08-10,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP22042/2021,2021-08-10,Europe,France,Ile de France,0
hCoV-19/France/BRE-IPP21901/2021,2021-08-10,Europe,France,Bretagne,1
hCoV-19/France/IDF-IPP22244/2021,2021-08-10,Europe,France,Ile de France,0
hCoV-19/France/PDL-IPP22292/2021,2021-08-10,Europe,France,Pays de La Loire,223
hCoV-19/Germany/HH-hpi-p8551/2021,2021-08-10,Europe,Germany,Hamburg,16
hCoV-19/France/CVL-IPP23013/2021,2021-08-10,Europe,France,Centre-Val de Loire,0
hCoV-19/France/HDF-IPP22505/2021,2021-08-10,Europe,France,Hauts de France,282
hCoV-19/France/PDL-IPP22371/2021,2021-08-10,Europe,France,Pays de La Loire,0
hCoV-19/France/PDL-IPP22385/2021,2021-08-10,Europe,France,Pays de La Loire,0
hCoV-19/France/PDL-IPP22391/2021,2021-08-10,Europe,France,Pays de La Loire,0
hCoV-19/France/PDL-IPP22400/2021,2021-08-10,Europe,France,Pays de La Loire,29
hCoV-19/France/PDL-IPP22493/2021,2021-08-10,Europe,France,Pays de La Loire,175
hCoV-19/France/PDL-IPP22535/2021,2021-08-10,Europe,France,Pays de La Loire,0
hCoV-19/France/PDL-IPP22527/2021,2021-08-10,Europe,France,Pays de La Loire,447
hCoV-19/France/HDF-IPP22509/2021,2021-08-10,Europe,France,Hauts de France,556
hCoV-19/Belgium/ULG-18708/2021,2021-08-10,Europe,Belgium,Liège,0
hCoV-19/France/BRE-IPP22650/2021,2021-08-10,Europe,France,Bretagne,0
hCoV-19/Spain/CL-COV11690/2021,2021-08-10,Europe,Spain,Castilla y Leon,375
hCoV-19/Switzerland/BL-ETHZ-33705987/2021,2021-08-10,Europe,Switzerland,Basel-Land,0
hCoV-19/Denmark/DCGC-151566/2021,2021-08-11,Europe,Denmark,Syddanmark,665
hCoV-19/Denmark/DCGC-152142/2021,2021-08-11,Europe,Denmark,Hovedstaden,5
hCoV-19/Denmark/DCGC-152199/2021,2021-08-11,Europe,Denmark,Sjaelland,126
hCoV-19/Denmark/DCGC-152726/2021,2021-08-11,Europe,Denmark,Hovedstaden,3
hCoV-19/Germany/NW-RKI-I-200217/2021,2021-08-11,Europe,Germany,North Rhine Westphalia,177
hCoV-19/Germany/BY-RKI-I-200263/2021,2021-08-11,Europe,Germany,Bavaria,220
hCoV-19/Germany/BY-RKI-I-200335/2021,2021-08-11,Europe,Germany,Bavaria,5
hCoV-19/Germany/BW-RKI-I-201198/2021,2021-08-11,Europe,Germany,Baden-Wuerttemberg,12
hCoV-19/Germany/NW-RKI-I-201483/2021,2021-08-11,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/BW-RKI-I-201754/2021,2021-08-11,Europe,Germany,Baden-Wuerttemberg,177
hCoV-19/Germany/BW-RKI-I-201836/2021,2021-08-11,Europe,Germany,Baden-Wuerttemberg,179
hCoV-19/USA/MA-CDCBI-CRSP_ELYBE6IOVWKOZBRB/2021,2021-08-11,North America,USA,Massachusetts,546
hCoV-19/USA/MA-CDCBI-CRSP_Q6LU7PPQLDOQX5FQ/2021,2021-08-11,North America,USA,Massachusetts,695
hCoV-19/USA/MA-CDCBI-CRSP_UX3CDFRTWDCKQUOB/2021,2021-08-11,North America,USA,Massachusetts,573
hCoV-19/Denmark/DCGC-155034/2021,2021-08-11,Europe,Denmark,Midtjylland,0
hCoV-19/Belgium/CHUNamur13544550/2021,2021-08-11,Europe,Belgium,Hainaut,592
hCoV-19/Belgium/CHUNamur13544540/2021,2021-08-11,Europe,Belgium,Oost-Vlaanderen,592
hCoV-19/France/ARA-CFD210047104801/2021,2021-08-11,Europe,France,Auvergne-Rhône-Alpes,258
hCoV-19/France/ARA-CFD210047229801/2021,2021-08-11,Europe,France,Auvergne-Rhône-Alpes,0
hCoV-19/Belgium/ULG-17917/2021,2021-08-11,Europe,Belgium,Liège,0
hCoV-19/Belgium/UZA-UA-CV2153550752/2021,2021-08-11,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2155960190/2021,2021-08-11,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2317212586/2021,2021-08-11,Europe,Belgium,Antwerpen,0
hCoV-19/England/PHEC-R30BRCC2/2021,2021-08-11,Europe,United Kingdom,England,250
hCoV-19/England/PHEC-R30BRCD1/2021,2021-08-11,Europe,United Kingdom,England,0
hCoV-19/England/PHEC-R30BRE35/2021,2021-08-11,Europe,United Kingdom,England,87
hCoV-19/Spain/IB-HUSE-01775/2021,2021-08-11,Europe,Spain,Balear Islands,601
hCoV-19/Denmark/DCGC-157598/2021,2021-08-11,Europe,Denmark,Hovedstaden,0
hCoV-19/Belgium/UZA-UA-CV2153517208/2021,2021-08-11,Europe,Belgium,Antwerpen,0
hCoV-19/Switzerland/LU-UHB-42996781/2021,2021-08-11,Europe,Switzerland,Lucerne,122
hCoV-19/Germany/RP-RKI-I-203062/2021,2021-08-11,Europe,Germany,Rheinland-Pfalz,0
hCoV-19/Germany/RP-RKI-I-203085/2021,2021-08-11,Europe,Germany,Rheinland-Pfalz,0
hCoV-19/Germany/RP-RKI-I-203087/2021,2021-08-11,Europe,Germany,Rheinland-Pfalz,167
hCoV-19/Germany/RP-RKI-I-203090/2021,2021-08-11,Europe,Germany,Rheinland-Pfalz,80
hCoV-19/Germany/SN-RKI-I-205447/2021,2021-08-11,Europe,Germany,Saxony,152
hCoV-19/Germany/SN-RKI-I-205687/2021,2021-08-11,Europe,Germany,Saxony,8
hCoV-19/Italy/PIE-70099580/2021,2021-08-11,Europe,Italy,Piedmont,70
hCoV-19/Netherlands/FL-RIVM-51811/2021,2021-08-11,Europe,Netherlands,Flevoland,0
hCoV-19/Netherlands/FL-RIVM-51811/2021,2021-08-11,Europe,Netherlands,Flevoland,0
hCoV-19/USA/MA-CDC-LC0187259/2021,2021-08-11,North America,USA,Massachusetts,0
hCoV-19/England/PHEC-S30BS5C7/2021,2021-08-11,Europe,United Kingdom,England,0
hCoV-19/England/PHEC-S30BS5D6/2021,2021-08-11,Europe,United Kingdom,England,0
hCoV-19/Switzerland/BL-ETHZ-33720427/2021,2021-08-11,Europe,Switzerland,Basel-Land,721
hCoV-19/France/OCC-CHU-TLS-2122312080/2021,2021-08-11,Europe,France,Occitanie,0
hCoV-19/Belgium/UGent-9073/2021,2021-08-11,Europe,Belgium,Gent,2481
hCoV-19/Belgium/UGent-9513/2021,2021-08-11,Europe,Belgium,Gent,297
hCoV-19/Belgium/UGent-9239/2021,2021-08-11,Europe,Belgium,Gent,569
hCoV-19/Belgium/UGent-9067/2021,2021-08-11,Europe,Belgium,Gent,593
hCoV-19/Belgium/UGent-9072/2021,2021-08-11,Europe,Belgium,Gent,592
hCoV-19/Belgium/UGent-9091/2021,2021-08-11,Europe,Belgium,Gent,592
hCoV-19/Belgium/UGent-9504/2021,2021-08-11,Europe,Belgium,Gent,1167
hCoV-19/Austria/IMBA_IMP-937_C10/2021,2021-08-11,Europe,Austria,Vienna,299
hCoV-19/USA/MA-MASPHL-04716/2021,2021-08-11,North America,USA,Massachusetts,241
hCoV-19/USA/MA-MASPHL-04797/2021,2021-08-11,North America,USA,Massachusetts,233
hCoV-19/Belgium/Jessa_11-2132-004339ZOL/2021,2021-08-12,Europe,Belgium,Limburg BE,42
hCoV-19/Denmark/DCGC-151699/2021,2021-08-12,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-151771/2021,2021-08-12,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-151957/2021,2021-08-12,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-152061/2021,2021-08-12,Europe,Denmark,Hovedstaden,34
hCoV-19/Denmark/DCGC-152094/2021,2021-08-12,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-152200/2021,2021-08-12,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-152502/2021,2021-08-12,Europe,Denmark,Syddanmark,3
hCoV-19/Denmark/DCGC-152624/2021,2021-08-12,Europe,Denmark,Hovedstaden,34
hCoV-19/Denmark/DCGC-152678/2021,2021-08-12,Europe,Denmark,Hovedstaden,34
hCoV-19/Belgium/CHUNamur13546759/2021,2021-08-12,Europe,Belgium,Hainaut,0
hCoV-19/USA/MA-CDCBI-CRSP_VQA325QNJ66BQIPM/2021,2021-08-12,North America,USA,Massachusetts,793
hCoV-19/Denmark/DCGC-153669/2021,2021-08-12,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-155156/2021,2021-08-12,Europe,Denmark,Syddanmark,0
hCoV-19/Belgium/AZDelta-19152-2131R/2021,2021-08-12,Europe,Belgium,Kortrijk,2205
hCoV-19/Belgium/AZDelta-19051-2131R/2021,2021-08-12,Europe,Belgium,Tielt,85
hCoV-19/Belgium/AZDelta-19069-2131R/2021,2021-08-12,Europe,Belgium,Tielt,74
hCoV-19/Belgium/AZDelta-18902-2131R/2021,2021-08-12,Europe,Belgium,Roeselare,76
hCoV-19/Belgium/MBLGPF839971/2021,2021-08-12,Europe,Belgium,Brussels,0
hCoV-19/Switzerland/GE-HUG-35035725/2021,2021-08-12,Europe,Switzerland,Geneva,158
hCoV-19/Denmark/DCGC-157847/2021,2021-08-12,Europe,Denmark,Midtjylland,0
hCoV-19/Belgium/UZA-UA-CV2154086171/2021,2021-08-12,Europe,Belgium,Antwerpen,1035
hCoV-19/Belgium/UZA-UA-CV2154069195/2021,2021-08-12,Europe,Belgium,Antwerpen,919
hCoV-19/Belgium/UZA-UA-3815617730/2021,2021-08-12,Europe,Belgium,Antwerpen,0
hCoV-19/Germany/BW-RKI-I-202151/2021,2021-08-12,Europe,Germany,Baden-Wuerttemberg,4
hCoV-19/Germany/NW-RKI-I-202544/2021,2021-08-12,Europe,Germany,North Rhine Westphalia,19
hCoV-19/Germany/NW-RKI-I-202559/2021,2021-08-12,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/RP-RKI-I-202593/2021,2021-08-12,Europe,Germany,Rheinland-Pfalz,266
hCoV-19/Germany/BW-RKI-I-202757/2021,2021-08-12,Europe,Germany,Baden-Wuerttemberg,0
hCoV-19/Germany/NW-RKI-I-202882/2021,2021-08-12,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/BW-RKI-I-202972/2021,2021-08-12,Europe,Germany,Baden-Wuerttemberg,0
hCoV-19/Germany/NW-RKI-I-203015/2021,2021-08-12,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/NW-RKI-I-203041/2021,2021-08-12,Europe,Germany,North Rhine Westphalia,1
hCoV-19/Netherlands/ZH-RIVM-52198/2021,2021-08-12,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/ZH-RIVM-52461/2021,2021-08-12,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/ZH-RIVM-52198/2021,2021-08-12,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/ZH-RIVM-52461/2021,2021-08-12,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/NH-RIVM-53148/2021,2021-08-12,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/ZH-RIVM-53161/2021,2021-08-12,Europe,Netherlands,South Holland,0
hCoV-19/England/PHEC-T304TE5A/2021,2021-08-12,Europe,United Kingdom,England,13
hCoV-19/Sweden/4552506893/2021,2021-08-12,Europe,Sweden,Stockholm,0
hCoV-19/Belgium/ZNA_21632332/2021,2021-08-12,Europe,Belgium,Antwerpen,201
hCoV-19/Switzerland/ZH-UZH-IMV-3ba4e3de/2021,2021-08-12,Europe,Switzerland,Zürich,21
hCoV-19/Belgium/UGent-9088/2021,2021-08-12,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-9296/2021,2021-08-12,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-9490/2021,2021-08-12,Europe,Belgium,Gent,1907
hCoV-19/Belgium/UGent-9320/2021,2021-08-12,Europe,Belgium,Gent,0
hCoV-19/Belgium/UGent-9250/2021,2021-08-12,Europe,Belgium,Gent,592
hCoV-19/Belgium/UGent-9365/2021,2021-08-12,Europe,Belgium,Gent,1146
hCoV-19/Germany/NW-RKI-I-209009/2021,2021-08-12,Europe,Germany,North Rhine Westphalia,507
hCoV-19/Iceland/9691/2021,2021-08-12,Europe,Iceland,Reykjavik,274
hCoV-19/Denmark/DCGC-151604/2021,2021-08-13,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-151991/2021,2021-08-13,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-152402/2021,2021-08-13,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-152468/2021,2021-08-13,Europe,Denmark,Hovedstaden,0
hCoV-19/Germany/NW-RKI-I-200485/2021,2021-08-13,Europe,Germany,North Rhine Westphalia,292
hCoV-19/USA/MA-CDCBI-CRSP_IYXYU3AKYCJWFY3G/2021,2021-08-13,North America,USA,Massachusetts,519
hCoV-19/USA/MA-CDCBI-CRSP_MJGFB73CDJRDPUCB/2021,2021-08-13,North America,USA,Massachusetts,546
hCoV-19/USA/MA-CDCBI-CRSP_T75433KNXVMOOFZY/2021,2021-08-13,North America,USA,Massachusetts,672
hCoV-19/USA/MA-CDCBI-CRSP_U72NV4K3FDIDXXZN/2021,2021-08-13,North America,USA,Massachusetts,552
hCoV-19/USA/MA-CDCBI-CRSP_YHFDM7YC2BYM2GKW/2021,2021-08-13,North America,USA,Massachusetts,546
hCoV-19/Denmark/DCGC-153967/2021,2021-08-13,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-154314/2021,2021-08-13,Europe,Denmark,Hovedstaden,41
hCoV-19/Denmark/DCGC-156068/2021,2021-08-13,Europe,Denmark,Hovedstaden,986
hCoV-19/England/PHEC-S303S9D2/2021,2021-08-13,Europe,United Kingdom,England,52
hCoV-19/Sweden/01_SE100_21CS507723/2021,2021-08-13,Europe,Sweden,Stockholm,46
hCoV-19/Italy/FVG-UD-364626/2021,2021-08-13,Europe,Italy,Friuli Venezia Giulia,233
hCoV-19/Belgium/CHUNamur13550228/2021,2021-08-13,Europe,Belgium,Antwerpen,592
hCoV-19/Belgium/ULG-18005/2021,2021-08-13,Europe,Belgium,Liège,970
hCoV-19/Belgium/UZA-UA-CV2153480428/2021,2021-08-13,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2153442234/2021,2021-08-13,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2152893879/2021,2021-08-13,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2137046810/2021,2021-08-13,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2152934194/2021,2021-08-13,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-2814494757/2021,2021-08-13,Europe,Belgium,Tongeren,0
hCoV-19/Belgium/UZA-UA-CV2153414144/2021,2021-08-13,Europe,Belgium,Antwerpen,259
hCoV-19/Belgium/UZA-UA-CV2152937329/2021,2021-08-13,Europe,Belgium,Antwerpen,0
hCoV-19/USA/UT-UPHL-210823070041/2021,2021-08-13,North America,USA,Utah,0
hCoV-19/USA/UT-UPHL-210823484292/2021,2021-08-13,North America,USA,Utah,0
hCoV-19/Germany/NW-RKI-I-202931/2021,2021-08-13,Europe,Germany,North Rhine Westphalia,17
hCoV-19/Germany/HH-RKI-I-205837/2021,2021-08-13,Europe,Germany,Hamburg,0
hCoV-19/Germany/BE-RKI-I-206999/2021,2021-08-13,Europe,Germany,Berlin,333
hCoV-19/Netherlands/UT-RIVM-52498/2021,2021-08-13,Europe,Netherlands,Utrecht,0
hCoV-19/Netherlands/UT-RIVM-52498/2021,2021-08-13,Europe,Netherlands,Utrecht,0
hCoV-19/Netherlands/ZH-RIVM-53150/2021,2021-08-13,Europe,Netherlands,South Holland,0
hCoV-19/Belgium/ULG-18327/2021,2021-08-13,Europe,Belgium,Liège,0
hCoV-19/Gibraltar/EXP_15082021-1440843-38/2021,2021-08-13,Europe,United Kingdom,Gibraltar,67
hCoV-19/England/PHEC-S30ASFBB/2021,2021-08-13,Europe,United Kingdom,England,569
hCoV-19/Switzerland/ZH-UZH-IMV-3ba4e1f0/2021,2021-08-13,Europe,Switzerland,Zürich,336
hCoV-19/Spain/MD-HRYC-71674050/2021,2021-08-13,Europe,Spain,Madrid,180
hCoV-19/Belgium/UGent-9180/2021,2021-08-13,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-9188/2021,2021-08-13,Europe,Belgium,Gent,256
hCoV-19/Belgium/UGent-9272/2021,2021-08-13,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-9362/2021,2021-08-13,Europe,Belgium,Gent,2231
hCoV-19/Belgium/UGent-9197/2021,2021-08-13,Europe,Belgium,Gent,569
hCoV-19/Germany/HE-RKI-I-208987/2021,2021-08-13,Europe,Germany,Hesse,248
hCoV-19/England/PHEC-V307VA26/2021,2021-08-13,Europe,United Kingdom,England,2532
hCoV-19/Belgium/ULG-18433/2021,2021-08-13,Europe,Belgium,Liège,0
hCoV-19/Sweden/CS2114600/2021,2021-08-13,Europe,Sweden,Vastmanland,0
hCoV-19/Canada/AB-ABPHL-27963/2021,2021-08-13,North America,Canada,Alberta,5
hCoV-19/Denmark/DCGC-151744/2021,2021-08-14,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-152360/2021,2021-08-14,Europe,Denmark,Hovedstaden,0
hCoV-19/Belgium/Jessa_11-2132-005742/2021,2021-08-14,Europe,Belgium,Limburg BE,0
hCoV-19/England/QEUH-1BB2E50/2021,2021-08-14,Europe,United Kingdom,England,0
hCoV-19/Denmark/DCGC-155160/2021,2021-08-14,Europe,Denmark,Syddanmark,34
hCoV-19/Denmark/DCGC-155427/2021,2021-08-14,Europe,Denmark,Syddanmark,0
hCoV-19/Italy/VEN-ULSS3GEN-21RS8076-7_VR/2021,2021-08-14,Europe,Italy,Veneto,0
hCoV-19/Italy/VEN-ULSS3GEN-7001760480_VE/2021,2021-08-14,Europe,Italy,Veneto,0
hCoV-19/Denmark/DCGC-158039/2021,2021-08-14,Europe,Denmark,Hovedstaden,0
hCoV-19/Belgium/CHUNamur13551682/2021,2021-08-14,Europe,Belgium,Vlaams-Brabant,866
hCoV-19/Belgium/CHUNamur13551579/2021,2021-08-14,Europe,Belgium,Namur,866
hCoV-19/Belgium/CHUNamur13551681/2021,2021-08-14,Europe,Belgium,Brabant Wallon,866
hCoV-19/Belgium/ULG-18058/2021,2021-08-14,Europe,Belgium,Brussels,0
hCoV-19/Belgium/UZA-UA-CV2140879623/2021,2021-08-14,Europe,Belgium,Antwerpen,720
hCoV-19/Belgium/UZA-UA-CV1009475966/2021,2021-08-14,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV1012336860/2021,2021-08-14,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV1013182578/2021,2021-08-14,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2262263302/2021,2021-08-14,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-7815571757/2021,2021-08-14,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-3815573855/2021,2021-08-14,Europe,Belgium,Antwerpen,1328
hCoV-19/Germany/NW-RKI-I-201987/2021,2021-08-14,Europe,Germany,North Rhine Westphalia,82
hCoV-19/Germany/NW-RKI-I-202477/2021,2021-08-14,Europe,Germany,North Rhine Westphalia,15
hCoV-19/Germany/NW-RKI-I-202501/2021,2021-08-14,Europe,Germany,North Rhine Westphalia,1068
hCoV-19/Germany/NW-RKI-I-202596/2021,2021-08-14,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/NW-RKI-I-202769/2021,2021-08-14,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Netherlands/ZH-RIVM-52271/2021,2021-08-14,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/ZH-RIVM-52271/2021,2021-08-14,Europe,Netherlands,South Holland,0
hCoV-19/Belgium/ULG-18330/2021,2021-08-14,Europe,Belgium,Liège,0
hCoV-19/Gibraltar/EXP_15082021-1440967-32/2021,2021-08-14,Europe,United Kingdom,Gibraltar,0
hCoV-19/Belgium/MBLGPF728079/2021,2021-08-14,Europe,Belgium,Brussels,0
hCoV-19/England/PHEC-T304TC50/2021,2021-08-14,Europe,United Kingdom,England,13
hCoV-19/Belgium/UGent-9348/2021,2021-08-14,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-9361/2021,2021-08-14,Europe,Belgium,Gent,0
hCoV-19/Belgium/UGent-9179/2021,2021-08-14,Europe,Belgium,Gent,334
hCoV-19/Belgium/UGent-9374/2021,2021-08-14,Europe,Belgium,Gent,569
hCoV-19/USA/MA-CDCBI-MGB_00659/2021,2021-08-14,North America,USA,Massachusetts,125
hCoV-19/Belgium/ULG-18443/2021,2021-08-14,Europe,Belgium,Liège,0
hCoV-19/Belgium/ULG-18705/2021,2021-08-14,Europe,Belgium,Liège,0
hCoV-19/Denmark/DCGC-153195/2021,2021-08-15,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-153321/2021,2021-08-15,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-154006/2021,2021-08-15,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-154078/2021,2021-08-15,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-154295/2021,2021-08-15,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-154502/2021,2021-08-15,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-154839/2021,2021-08-15,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-155128/2021,2021-08-15,Europe,Denmark,Hovedstaden,988
hCoV-19/England/QEUH-1BD0D7D/2021,2021-08-15,Europe,United Kingdom,England,0
hCoV-19/Denmark/DCGC-155744/2021,2021-08-15,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-156038/2021,2021-08-15,Europe,Denmark,Midtjylland,0
hCoV-19/USA/MA-CDCBI-CRSP_2FMUANBMJTOMCSSO/2021,2021-08-15,North America,USA,Massachusetts,715
hCoV-19/Belgium/UZA-UA-CV1010019368/2021,2021-08-15,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2142509526/2021,2021-08-15,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/IPG-574/2021,2021-08-15,Europe,Belgium,Wallonia,569
hCoV-19/Netherlands/ZH-RIVM-53145/2021,2021-08-15,Europe,Netherlands,South Holland,45
hCoV-19/Netherlands/UT-RIVM-52578/2021,2021-08-15,Europe,Netherlands,Utrecht,0
hCoV-19/Netherlands/ZH-RIVM-53145/2021,2021-08-15,Europe,Netherlands,South Holland,45
hCoV-19/Netherlands/UT-RIVM-52578/2021,2021-08-15,Europe,Netherlands,Utrecht,0
hCoV-19/Netherlands/FL-RIVM-52948/2021,2021-08-15,Europe,Netherlands,Flevoland,0
hCoV-19/Netherlands/ZH-RIVM-53123/2021,2021-08-15,Europe,Netherlands,South Holland,0
hCoV-19/Switzerland/GE-HUG-35059850/2021,2021-08-15,Europe,Switzerland,Geneva,246
hCoV-19/Switzerland/GE-HUG-35059566/2021,2021-08-15,Europe,Switzerland,Geneva,66
hCoV-19/Gibraltar/EXP_16082021-1441587-55/2021,2021-08-15,Europe,United Kingdom,Gibraltar,3
hCoV-19/Switzerland/VD-CHUV-GEN6414/2021,2021-08-15,Europe,Switzerland,Vaud,2
hCoV-19/Belgium/UGent-9182/2021,2021-08-15,Europe,Belgium,Gent,592
hCoV-19/Belgium/UGent-9337/2021,2021-08-15,Europe,Belgium,Gent,592
hCoV-19/Belgium/UGent-9508/2021,2021-08-15,Europe,Belgium,Gent,592
hCoV-19/Belgium/UGent-9346/2021,2021-08-15,Europe,Belgium,Gent,1146
hCoV-19/South Korea/KDCA10056/2021,2021-08-15,Asia,South Korea,,187
hCoV-19/Denmark/DCGC-165326/2021,2021-08-15,Europe,Denmark,Hovedstaden,34
hCoV-19/Denmark/DCGC-165603/2021,2021-08-15,Europe,Denmark,Syddanmark,0
hCoV-19/Sweden/1718030644/2021,2021-08-15,Europe,Sweden,Stockholm,0
hCoV-19/Sweden/6182261807/2021,2021-08-15,Europe,Sweden,Stockholm,0
hCoV-19/Belgium/CHUNamur13552707/2021,2021-08-15,Europe,Belgium,Brabant Wallon,592
hCoV-19/Belgium/CHUNamur13552703/2021,2021-08-15,Europe,Belgium,Brabant Wallon,1146
hCoV-19/Denmark/DCGC-153284/2021,2021-08-16,Europe,Denmark,Hovedstaden,34
hCoV-19/Denmark/DCGC-153456/2021,2021-08-16,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-153466/2021,2021-08-16,Europe,Denmark,Hovedstaden,34
hCoV-19/Denmark/DCGC-154308/2021,2021-08-16,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-154633/2021,2021-08-16,Europe,Denmark,Hovedstaden,6
hCoV-19/Denmark/DCGC-155350/2021,2021-08-16,Europe,Denmark,Sjaelland,0
hCoV-19/Denmark/DCGC-156103/2021,2021-08-16,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-156356/2021,2021-08-16,Europe,Denmark,Hovedstaden,0
hCoV-19/USA/NY-PRL-2021_0817_01G22/2021,2021-08-16,North America,USA,New York,941
hCoV-19/Denmark/DCGC-156678/2021,2021-08-16,Europe,Denmark,Syddanmark,0
hCoV-19/Denmark/DCGC-157787/2021,2021-08-16,Europe,Denmark,Midtjylland,0
hCoV-19/Italy/PIE-15858477/2021,2021-08-16,Europe,Italy,Piedmont,51
hCoV-19/Italy/PIE-15858479/2021,2021-08-16,Europe,Italy,Piedmont,140
hCoV-19/USA/MA-CDCBI-CRSP_3WYLP7SLDFJLDWTR/2021,2021-08-16,North America,USA,Massachusetts,776
